,Codi municipi,Habitants,Municipi,MUNICIPI_CODI,RECOMPTE,Taxa_vacunacio
560,43975770,976,"PONT D'ARMENTERA, EL",,,
561,25531212,304,"PONT DE BAR, EL",,,
562,17477904,1032,PONT DE MOLINS,3786835.0,477.0,46.22093023255814
563,25676868,2259,"PONT DE SUERT, EL",,,
564,8346150,3910,"PONT DE VILOMARA I ROCAFORT, EL",,,
565,44004636,244,PONTILS,,,
566,8332176,1056,PONTONS,1527416.0,366.0,34.659090909090914
567,25676256,2646,PONTS,12032216.0,3030.0,114.51247165532881
568,17479230,520,PONTÓS,2758896.0,229.0,44.03846153846154
569,17479842,4681,PORQUERES,10350748.0,4266.0,91.13437299722281
570,43976280,848,PORRERA,8450344.0,404.0,47.64150943396226
571,17483208,1916,"PORT DE LA SELVA, EL",,,
572,17481474,2126,PORTBOU,5107124.0,1077.0,50.658513640639704
573,25678398,1486,"PORTELLA, LA",,,
574,43977606,316,PRADELL DE LA TEIXETA,,,
575,43978932,1176,PRADES,9442404.0,489.0,41.58163265306122
576,43979544,354,PRAT DE COMTE,,,
577,8332482,65450,"PRAT DE LLOBREGAT, EL",,,
578,43981176,1452,PRATDIP,10951972.0,637.0,43.870523415977964
579,8334624,2606,PRATS DE LLUÇANÈS,4314288.0,2699.0,103.5686876438987
580,8333910,1074,"PRATS DE REI, ELS",,,
581,25678704,444,PRATS I SANSOR,3927300.0,199.0,44.81981981981982
582,25680030,774,PREIXANA,4632384.0,436.0,56.33074935400517
583,25680642,836,PREIXENS,5589294.0,396.0,47.368421052631575
584,8394906,10451,PREMIÀ DE DALT,8600350.0,9513.0,91.02478231748158
585,8336154,28559,PREMIÀ DE MAR,10648116.0,27381.0,95.8752057144858
586,17481780,3710,"PRESES, LES",,,
587,25682580,452,PRULLANS,,,
588,8338602,4299,PUIG-REIG,5264700.0,4661.0,108.42056292160969
589,17483922,9495,PUIGCERDÀ,12650058.0,8432.0,88.80463401790416
590,8338296,1048,PUIGDÀLBER,2059848.0,462.0,44.083969465648856
591,25684008,556,PUIGGRÒS,3877720.0,246.0,44.24460431654676
592,43981482,2326,PUIGPELAT,15565959.0,949.0,40.799656061908856
593,25684722,458,PUIGVERD D'AGRAMUNT,,,
594,25686252,2698,PUIGVERD DE LLEIDA,11331900.0,1384.0,51.29725722757599
595,8339928,420,PUJALT,,,
596,8340540,98,"QUAR, LA",,,
597,17485452,3801,QUART,9856650.0,3313.0,87.16127334911864
598,17384166,376,QUERALBS,,,
599,43982910,1036,QUEROL,8149680.0,322.0,31.08108108108108
600,17486064,368,RABÓS,,,
601,8342172,1068,RAJADELL,1930008.0,360.0,33.70786516853933
602,43983624,1566,RASQUERA,13798720.0,895.0,57.15197956577267
603,17487594,552,REGENCÓS,2760184.0,218.0,39.492753623188406
604,8343498,1618,RELLINARS,2224688.0,476.0,29.419035846724352
605,43985154,324,RENAU,,,
606,43985766,106274,REUS,63822040.0,99586.0,93.70683328001205
607,25686864,1282,RIALP,5540260.0,473.0,36.89547581903276
608,43987296,1170,"RIBA, LA",,,
609,43987602,2220,RIBA-ROJA D'EBRE,16128750.0,1301.0,58.6036036036036
610,26424018,866,RIBERA D'ONDARA,5569575.0,371.0,42.840646651270205
611,25688700,1864,RIBERA D'URGELLET,6069585.0,678.0,36.37339055793991
612,17487900,3520,RIBES DE FRESER,5417820.0,1860.0,52.84090909090909
613,17489226,4157,RIELLS I VIABREA,11333506.0,3093.0,74.40461871541977
614,43988928,3484,"RIERA DE GAIÀ, LA",,,
615,25690026,526,RINER,3777900.0,197.0,37.452471482889734
616,17490858,10813,RIPOLL,12465869.0,10530.0,97.38277998705263
617,8343906,39218,RIPOLLET,11157520.0,34300.0,87.45983986944769
618,26432178,186,RIU DE CERDANYA,,,
619,17491470,2206,RIUDARENES,7888080.0,1780.0,80.68902991840436
620,17492796,962,RIUDAURA,3515545.0,363.0,37.733887733887734
621,43989540,2292,RIUDECANYES,14102529.0,930.0,40.575916230366495
622,43991172,2378,RIUDECOLS,15482952.0,1041.0,43.776282590412116
623,17493102,2073,RIUDELLOTS DE LA SELVA,7700350.0,1934.0,93.29474191992281
624,43992498,6575,RIUDOMS,28896430.0,6208.0,94.41825095057034
625,17494836,492,RIUMORS,,,
626,8344620,10764,"ROCA DEL VALLÈS, LA",,,
627,43992906,422,ROCAFORT DE QUERALT,5132470.0,210.0,49.763033175355446
628,43993620,6791,RODA DE BERÀ,31830678.0,6199.0,91.2825798851421
629,8346762,6496,RODA DE TER,5384414.0,5612.0,86.39162561576354
630,43995150,988,RODONYÀ,10265416.0,460.0,46.558704453441294
631,43995762,8087,ROQUETES,38000173.0,7848.0,97.04463954494868
632,17495346,19826,ROSES,14939392.0,14977.0,75.54221729042672
633,25693596,3240,ROSSELLÓ,16272094.0,2849.0,87.9320987654321
634,43997292,744,"ROURELL, EL",,,
635,8349618,478,RUBIÓ,,,
636,8348292,78669,RUBÍ,12030480.0,65751.0,83.57930061396483
637,9079938,542,RUPIT I PRUIT,1174932.0,230.0,42.435424354243544
638,17496978,546,RUPIÀ,2761633.0,259.0,47.43589743589743
639,8351556,33410,SABADELL,14638356.0,205586.0,615.3427117629452
640,8352168,290,SAGÀS,,,
641,8353902,556,SALDES,1081080.0,234.0,42.086330935251794
642,17497488,318,SALES DE LLIERCA,,,
643,8355636,6741,SALLENT,6094104.0,6745.0,100.0593383770954
644,43998618,1098,SALOMÓ,8842675.0,450.0,40.98360655737705
645,44783814,28554,SALOU,42148800.0,21158.0,74.09819990194019
646,17498814,32170,SALT,18990585.0,21645.0,67.28318308983525
647,25694004,654,SALÀS DE PALLARS,3954830.0,347.0,53.05810397553516
648,25695738,758,SANAÜJA,4836672.0,383.0,50.52770448548812
649,8358288,37484,SANT ADRIÀ DE BESÒS,11487988.0,31516.0,84.07854017714224
650,8359614,178,SANT AGUSTÍ DE LLUÇANÈS,,,
651,17500752,320,SANT ANDREU SALOU,,,
652,8361552,11144,SANT ANDREU DE LLAVANERES,8492092.0,10284.0,92.28284278535534
653,8359920,27596,SANT ANDREU DE LA BARCA,10040100.0,24621.0,89.21945209450645
654,17526966,690,SANT ANIOL DE FINESTRES,2732097.0,253.0,36.666666666666664
655,8362164,6214,SANT ANTONI DE VILAMAJOR,6853528.0,5619.0,90.42484711940779
656,8363490,1768,SANT BARTOMEU DEL GRAU,2558088.0,792.0,44.79638009049774
657,8364918,84584,SANT BOI DE LLOBREGAT,12652600.0,79521.0,94.01423437056654
658,8365632,1160,SANT BOI DE LLUÇANÈS,2083054.0,815.0,70.25862068965517
659,43998924,14967,SANT CARLES DE LA RÀPITA,40590976.0,14622.0,97.6949288434556
660,8367774,3441,SANT CEBRIÀ DE VALLALTA,5496010.0,2668.0,77.53560011624528
661,8366142,18154,SANT CELONI,8308626.0,16325.0,89.92508538063237
662,17501364,1414,SANT CLIMENT SESCEBES,3929182.0,504.0,35.64356435643564
663,8368284,4164,SANT CLIMENT DE LLOBREGAT,5890472.0,3731.0,89.60134486071085
664,8370936,2018,SANT CUGAT SESGARRIGUES,3060838.0,990.0,49.05847373637265
665,8369610,93069,SANT CUGAT DEL VALLÈS,12504420.0,82225.0,88.34842965971484
666,8372160,7703,SANT ESTEVE SESROVIRES,8076672.0,8361.0,108.5421264442425
667,8371548,2866,SANT ESTEVE DE PALAUTORDERA,4915993.0,2326.0,81.15840893230984
668,25700022,244,SANT ESTEVE DE LA SARGA,,,
669,8377158,1210,SANT FELIU SASSERRA,2217240.0,628.0,51.90082644628099
670,17502690,1594,SANT FELIU DE BUIXALLEU,5319290.0,594.0,37.26474278544542
671,8374914,6369,SANT FELIU DE CODINES,6929240.0,5391.0,84.64437117286859
672,17504118,22119,SANT FELIU DE GUÍXOLS,16490760.0,19260.0,87.0744608707446
673,8375628,45512,SANT FELIU DE LLOBREGAT,11002740.0,44224.0,97.16997714888382
674,17504832,2874,SANT FELIU DE PALLEROLS,5834740.0,1420.0,49.40848990953375
675,17505342,472,SANT FERRIOL,,,
676,8373486,8861,SANT FOST DE CAMPSENTELLES,7782132.0,8894.0,100.37241846292744
677,8377770,8845,SANT FRUITÓS DE BAGES,6537548.0,7639.0,86.36517806670435
678,17506974,3931,SANT GREGORI,10366452.0,3903.0,99.28771305011448
679,25696248,2074,SANT GUIM DE FREIXENET,8817200.0,974.0,46.962391513982645
680,25701654,362,SANT GUIM DE LA PLANA,,,
681,17507484,5708,SANT HILARI SACALM,11482716.0,5027.0,88.06937631394534
682,8379606,3543,SANT HIPÒLIT DE VOLTREGÀ,4887925.0,3255.0,91.87129551227773
683,8357778,2684,SANT ISCLE DE VALLALTA,3473832.0,1073.0,39.97764530551416
684,44780346,3530,SANT JAUME D'ENVEJA,25682670.0,3409.0,96.57223796033995
685,8380932,60,SANT JAUME DE FRONTANYÀ,,,
686,17508810,1742,SANT JAUME DE LLIERCA,4686045.0,801.0,45.98163030998852
687,44000556,2626,SANT JAUME DELS DOMENYS,21223404.0,2198.0,83.70144706778369
688,8381544,34301,SANT JOAN DESPÍ,10821789.0,33198.0,96.78435031048657
689,17511360,996,SANT JOAN DE MOLLET,4377840.0,470.0,47.18875502008032
690,8383176,11008,SANT JOAN DE VILATORRADA,6977082.0,10296.0,93.53197674418605
691,17510748,3227,SANT JOAN DE LES ABADESSES,8154325.0,3441.0,106.6315463278587
692,17528802,3047,SANT JOAN LES FONTS,8128505.0,3134.0,102.85526747620611
693,17510136,1520,SANT JORDI DESVALLS,4634820.0,706.0,46.44736842105263
694,9081060,458,SANT JULIÀ DE CERDANYOLA,,,
695,17512686,3579,SANT JULIÀ DE RAMIS,9837837.0,3189.0,89.10310142497904
696,8384910,3143,SANT JULIÀ DE VILATORTA,4808700.0,2932.0,93.28666878778238
697,18261264,2626,SANT JULIÀ DEL LLOR I BONMATÍ,6713625.0,1121.0,42.68849961919269
698,8385624,18688,SANT JUST DESVERN,9930968.0,18233.0,97.56528253424658
699,8387766,2419,SANT LLORENÇ SAVALL,5131152.0,2268.0,93.7577511368334
700,8387154,2430,SANT LLORENÇ D'HORTONS,5015420.0,2245.0,92.38683127572016
