Codi	Municipi	BIG	QRA
430957	Morell, el	22.034	5.232
430960	Morera de Montsant, la	18.047	3.934
81290	Muntanyola	22.854	5.579
81398	Mura	22.839	6.080
251459	Nalec	16.856	4.763
250254	Naut Aran	21.634	6.051
81402	Navarcles	21.083	5.013
81419	Navàs	19.772	4.511
171117	Navata	24.059	5.992
251462	Navès	17.805	4.506
81424	Nou de Berguedà, la	19.147	3.778
430976	Nou de Gaià, la	22.221	5.677
430982	Nulles	18.500	4.408
251484	Odèn	15.588	4.489
81430	Òdena	21.090	5.723
171122	Ogassa	19.502	4.666
81458	Olèrdola	23.576	6.311
81461	Olesa de Bonesvalls	22.373	5.269
81477	Olesa de Montserrat	22.191	5.040
251497	Oliana	18.785	4.588
251500	Oliola	18.364	4.696
251517	Olius	22.245	10.954
81483	Olivella	25.740	6.883
81496	Olost	20.804	5.386
171143	Olot	20.795	5.184
251522	Oluges, les	15.477	4.296
81445	Olvan	16.592	3.797
251538	Omellons, els	12.025	3.007
251543	Omells de na Gaia, els	14.822	3.220
171156	Ordis	23.175	5.297
251556	Organyà	16.621	4.473
81509	Orís	18.732	4.753
81516	Oristà	18.452	4.510
81521	Orpí	23.858	6.180
81537	Òrrius	23.450	7.406
251569	Os de Balaguer	18.229	4.477
171169	Osor	16.390	3.248
251575	Ossó de Sió	19.549	5.697
81542	Pacs del Penedès	56.392	25.458
81555	Palafolls	19.903	4.530
171175	Palafrugell	18.828	4.911
171181	Palamós	20.024	5.099
251581	Palau d'Anglesola, el	19.906	4.984
171194	Palau de Santa Eulàlia	27.844	8.604
171215	Palau-sator	22.935	7.456
171208	Palau-saverdera	21.617	5.502
81568	Palau-solità i Plegamans	24.567	6.140
431009	Pallaresos, els	27.689	6.617
81574	Pallejà	26.304	7.170
430995	Palma d'Ebre, la	12.961	3.287
89058	Palma de Cervelló, la	26.314	6.758
171236	Palol de Revardit	23.773	6.624
171241	Pals	22.838	6.297
81580	Papiol, el	24.194	6.291
171254	Pardines	17.748	4.126
81593	Parets del Vallès	23.032	5.230
171267	Parlavà	22.196	5.748
431016	Passanant i Belltall	17.771	4.781
171289	Pau	20.895	6.060
431021	Paüls	12.527	3.177
171292	Pedret i Marzà	18.343	4.645
251641	Penelles	17.024	4.232
171306	Pera, la	25.359	6.822
81607	Perafita	20.033	5.793
431037	Perafort	23.453	5.655
171328	Peralada	26.864	11.330
251654	Peramola	17.969	4.365
431042	Perelló, el	14.293	3.410
81614	Piera	20.548	4.545
431055	Piles, les	20.196	4.415
81635	Pineda de Mar	18.173	5.517
431068	Pinell de Brai, el	14.805	3.768
251667	Pinell de Solsonès	19.497	7.661
251673	Pinós	16.214	5.469
